Trace1,
Freq,,Amp,,
            32114746,Hz,              -76.52, dBm,
            32196412,Hz,              -76.59, dBm,
            32278078,Hz,              -76.83, dBm,
            32359744,Hz,              -76.32, dBm,
            32441410,Hz,              -76.41, dBm,
            32523076,Hz,              -76.87, dBm,
            32604742,Hz,              -76.66, dBm,
            32686408,Hz,              -76.61, dBm,
            32768074,Hz,              -76.86, dBm,
            32849740,Hz,              -76.25, dBm,
            32931406,Hz,              -76.38, dBm,
            33013072,Hz,              -76.75, dBm,
            33094738,Hz,              -76.63, dBm,
            33176404,Hz,              -76.70, dBm,
            33258070,Hz,              -76.69, dBm,
            33339736,Hz,              -77.00, dBm,
            33421402,Hz,              -76.52, dBm,
            33503068,Hz,              -76.44, dBm,
            33584734,Hz,              -76.54, dBm,
            33666400,Hz,              -76.89, dBm,
            33748066,Hz,              -76.58, dBm,
            33829732,Hz,              -76.83, dBm,
            33911398,Hz,              -76.55, dBm,
            33993064,Hz,              -76.42, dBm,
            34074730,Hz,              -76.98, dBm,
            34156396,Hz,              -76.57, dBm,
            34238062,Hz,              -76.65, dBm,
            34319728,Hz,              -76.68, dBm,
            34401394,Hz,              -76.63, dBm,
            34483060,Hz,              -77.12, dBm,
            34564726,Hz,              -76.91, dBm,
            34646392,Hz,              -76.83, dBm,
            34728058,Hz,              -76.60, dBm,
            34809724,Hz,              -76.86, dBm,
            34891390,Hz,              -77.10, dBm,
            34973056,Hz,              -76.84, dBm,
            35054722,Hz,              -76.61, dBm,
            35136388,Hz,              -76.98, dBm,
            35218054,Hz,              -76.64, dBm,
            35299720,Hz,              -77.17, dBm,
            35381386,Hz,              -77.01, dBm,
            35463052,Hz,              -76.56, dBm,
            35544718,Hz,              -76.89, dBm,
            35626384,Hz,              -77.15, dBm,
            35708050,Hz,              -76.68, dBm,
            35789716,Hz,              -76.78, dBm,
            35871382,Hz,              -76.81, dBm,
            35953048,Hz,              -76.85, dBm,
            36034714,Hz,              -76.87, dBm,
            36116380,Hz,              -77.01, dBm,
            36198046,Hz,              -76.49, dBm,
            36279712,Hz,              -76.87, dBm,
            36361378,Hz,              -76.81, dBm,
            36443044,Hz,              -77.18, dBm,
            36524710,Hz,              -76.57, dBm,
            36606376,Hz,              -76.94, dBm,
            36688042,Hz,              -76.91, dBm,
            36769708,Hz,              -76.85, dBm,
            36851374,Hz,              -77.45, dBm,
            36933040,Hz,              -76.96, dBm,
            37014706,Hz,              -77.03, dBm,
            37096372,Hz,              -77.13, dBm,
            37178038,Hz,              -77.40, dBm,
            37259704,Hz,              -76.78, dBm,
            37341370,Hz,              -77.12, dBm,
            37423036,Hz,              -77.21, dBm,
            37504702,Hz,              -76.91, dBm,
            37586368,Hz,              -77.05, dBm,
            37668034,Hz,              -77.06, dBm,
            37749700,Hz,              -77.18, dBm,
            37831366,Hz,              -77.24, dBm,
            37913032,Hz,              -77.38, dBm,
            37994698,Hz,              -77.36, dBm,
            38076364,Hz,              -76.88, dBm,
            38158030,Hz,              -77.39, dBm,
            38239696,Hz,              -77.29, dBm,
            38321362,Hz,              -77.18, dBm,
            38403028,Hz,              -77.17, dBm,
            38484694,Hz,              -77.15, dBm,
            38566360,Hz,              -76.77, dBm,
            38648026,Hz,              -76.97, dBm,
            38729692,Hz,              -77.16, dBm,
            38811358,Hz,              -76.98, dBm,
            38893024,Hz,              -77.14, dBm,
            38974690,Hz,              -77.05, dBm,
            39056356,Hz,              -77.26, dBm,
            39138022,Hz,              -77.37, dBm,
            39219688,Hz,              -77.32, dBm,
            39301354,Hz,              -77.31, dBm,
            39383020,Hz,              -76.91, dBm,
            39464686,Hz,              -77.19, dBm,
            39546352,Hz,              -77.29, dBm,
            39628018,Hz,              -77.43, dBm,
            39709684,Hz,              -77.15, dBm,
            39791350,Hz,              -77.51, dBm,
            39873016,Hz,              -77.13, dBm,
            39954682,Hz,              -77.01, dBm,
            40036348,Hz,              -77.44, dBm,
            40118014,Hz,              -77.26, dBm,
            40199680,Hz,              -77.29, dBm,
            40281346,Hz,              -76.98, dBm,
            40363012,Hz,              -77.39, dBm,
            40444678,Hz,              -77.33, dBm,
            40526344,Hz,              -77.70, dBm,
            40608010,Hz,              -77.30, dBm,
            40689676,Hz,              -76.96, dBm,
            40771342,Hz,              -77.25, dBm,
            40853008,Hz,              -77.31, dBm,
            40934674,Hz,              -76.46, dBm,
            41016340,Hz,              -77.22, dBm,
            41098006,Hz,              -77.62, dBm,
            41179672,Hz,              -77.31, dBm,
            41261338,Hz,              -77.35, dBm,
            41343004,Hz,              -77.53, dBm,
            41424670,Hz,              -77.68, dBm,
            41506336,Hz,              -77.41, dBm,
            41588002,Hz,              -77.48, dBm,
            41669668,Hz,              -77.06, dBm,
            41751334,Hz,              -76.65, dBm,
            41833000,Hz,              -77.44, dBm,
            41914666,Hz,              -77.74, dBm,
            41996332,Hz,              -77.40, dBm,
            42077998,Hz,              -77.44, dBm,
            42159664,Hz,              -76.96, dBm,
            42241330,Hz,              -77.40, dBm,
            42322996,Hz,              -77.18, dBm,
            42404662,Hz,              -77.20, dBm,
            42486328,Hz,              -77.39, dBm,
            42567994,Hz,              -77.25, dBm,
            42649660,Hz,              -77.18, dBm,
            42731326,Hz,              -77.49, dBm,
            42812992,Hz,              -77.42, dBm,
            42894658,Hz,              -77.65, dBm,
            42976324,Hz,              -77.64, dBm,
            43057990,Hz,              -77.17, dBm,
            43139656,Hz,              -77.43, dBm,
            43221322,Hz,              -77.36, dBm,
            43302988,Hz,              -77.33, dBm,
            43384654,Hz,              -77.42, dBm,
            43466320,Hz,              -77.27, dBm,
            43547986,Hz,              -77.31, dBm,
            43629652,Hz,              -77.31, dBm,
            43711318,Hz,              -77.16, dBm,
            43792984,Hz,              -77.52, dBm,
            43874650,Hz,              -77.44, dBm,
            43956316,Hz,              -77.28, dBm,
            44037982,Hz,              -77.19, dBm,
            44119648,Hz,              -77.38, dBm,
            44201314,Hz,              -77.70, dBm,
            44282980,Hz,              -77.28, dBm,
            44364646,Hz,              -77.71, dBm,
            44446312,Hz,              -77.63, dBm,
            44527978,Hz,              -77.17, dBm,
            44609644,Hz,              -77.06, dBm,
            44691310,Hz,              -77.38, dBm,
            44772976,Hz,              -77.63, dBm,
            44854642,Hz,              -77.32, dBm,
            44936308,Hz,              -77.49, dBm,
            45017974,Hz,              -77.45, dBm,
            45099640,Hz,              -77.13, dBm,
            45181306,Hz,              -77.03, dBm,
            45262972,Hz,              -77.08, dBm,
            45344638,Hz,              -77.04, dBm,
            45426304,Hz,              -76.64, dBm,
            45507970,Hz,              -76.77, dBm,
            45589636,Hz,              -76.90, dBm,
            45671302,Hz,              -77.08, dBm,
            45752968,Hz,              -76.55, dBm,
            45834634,Hz,              -76.78, dBm,
            45916300,Hz,              -76.71, dBm,
            45997966,Hz,              -77.15, dBm,
            46079632,Hz,              -77.23, dBm,
            46161298,Hz,              -77.14, dBm,
            46242964,Hz,              -77.41, dBm,
            46324630,Hz,              -77.53, dBm,
            46406296,Hz,              -77.37, dBm,
            46487962,Hz,              -77.33, dBm,
            46569628,Hz,              -77.61, dBm,
            46651294,Hz,              -77.66, dBm,
            46732960,Hz,              -77.10, dBm,
            46814626,Hz,              -77.56, dBm,
            46896292,Hz,              -77.64, dBm,
            46977958,Hz,              -77.42, dBm,
            47059624,Hz,              -77.40, dBm,
            47141290,Hz,              -77.32, dBm,
            47222956,Hz,              -77.72, dBm,
            47304622,Hz,              -77.47, dBm,
            47386288,Hz,              -77.48, dBm,
            47467954,Hz,              -77.49, dBm,
            47549620,Hz,              -77.39, dBm,
            47631286,Hz,              -77.42, dBm,
            47712952,Hz,              -77.38, dBm,
            47794618,Hz,              -77.32, dBm,
            47876284,Hz,              -77.45, dBm,
            47957950,Hz,              -76.93, dBm,
            48039616,Hz,              -77.65, dBm,
            48121282,Hz,              -77.60, dBm,
            48202948,Hz,              -77.28, dBm,
            48284614,Hz,              -77.24, dBm,
            48366280,Hz,              -76.98, dBm,
            48447946,Hz,              -77.27, dBm,
            48529612,Hz,              -77.48, dBm,
            48611278,Hz,              -77.09, dBm,
            48692944,Hz,              -77.23, dBm,
            48774610,Hz,              -77.28, dBm,
            48856276,Hz,              -77.03, dBm,
            48937942,Hz,              -77.55, dBm,
            49019608,Hz,              -77.20, dBm,
            49101274,Hz,              -76.96, dBm,
            49182940,Hz,              -77.03, dBm,
            49264606,Hz,              -77.06, dBm,
            49346272,Hz,              -76.65, dBm,
            49427938,Hz,              -76.64, dBm,
            49509604,Hz,              -76.46, dBm,
            49591270,Hz,              -76.06, dBm,
            49672936,Hz,              -76.51, dBm,
            49754602,Hz,              -76.43, dBm,
            49836268,Hz,              -75.79, dBm,
            49917934,Hz,              -74.88, dBm,
            49999600,Hz,              -75.22, dBm,
Trace2,
Freq,,Amp,,
             1000000,Hz,              -26.05, dBm,
             1081666,Hz,              -29.91, dBm,
             1163332,Hz,              -34.46, dBm,
             1244998,Hz,              -39.80, dBm,
             1326664,Hz,              -45.81, dBm,
             1408330,Hz,              -51.85, dBm,
             1489996,Hz,              -60.03, dBm,
             1571662,Hz,              -66.46, dBm,
             1653328,Hz,              -72.30, dBm,
             1734994,Hz,              -69.81, dBm,
             1816660,Hz,              -71.43, dBm,
             1898326,Hz,              -69.19, dBm,
             1979992,Hz,              -72.75, dBm,
             2061658,Hz,              -72.47, dBm,
             2143324,Hz,              -73.70, dBm,
             2224990,Hz,              -77.54, dBm,
             2306656,Hz,              -64.24, dBm,
             2388322,Hz,              -71.73, dBm,
             2469988,Hz,              -72.64, dBm,
             2551654,Hz,              -69.67, dBm,
             2633320,Hz,              -73.96, dBm,
             2714986,Hz,              -73.35, dBm,
             2796652,Hz,              -71.92, dBm,
             2878318,Hz,              -78.72, dBm,
             2959984,Hz,              -73.06, dBm,
             3041650,Hz,              -70.75, dBm,
             3123316,Hz,              -66.96, dBm,
             3204982,Hz,              -79.16, dBm,
             3286648,Hz,              -76.29, dBm,
             3368314,Hz,              -68.56, dBm,
             3449980,Hz,              -73.90, dBm,
             3531646,Hz,              -75.89, dBm,
             3613312,Hz,              -72.30, dBm,
             3694978,Hz,              -77.06, dBm,
             3776644,Hz,              -75.30, dBm,
             3858310,Hz,              -74.75, dBm,
             3939976,Hz,              -75.90, dBm,
