Trace1,
Freq,,Amp,,
           128691410,Hz,              -71.12, dBm,
           129023076,Hz,              -73.84, dBm,
           129354742,Hz,              -76.23, dBm,
           129686408,Hz,              -76.82, dBm,
           130018074,Hz,              -76.85, dBm,
           130349740,Hz,              -76.58, dBm,
           130681406,Hz,              -76.75, dBm,
           131013072,Hz,              -76.58, dBm,
           131344738,Hz,              -76.87, dBm,
           131676404,Hz,              -76.64, dBm,
           132008070,Hz,              -76.70, dBm,
           132339736,Hz,              -76.34, dBm,
           132671402,Hz,              -76.44, dBm,
           133003068,Hz,              -76.71, dBm,
           133334734,Hz,              -76.78, dBm,
           133666400,Hz,              -76.83, dBm,
           133998066,Hz,              -76.62, dBm,
           134329732,Hz,              -76.51, dBm,
           134661398,Hz,              -76.77, dBm,
           134993064,Hz,              -76.69, dBm,
           135324730,Hz,              -76.70, dBm,
           135656396,Hz,              -76.70, dBm,
           135988062,Hz,              -76.76, dBm,
           136319728,Hz,              -76.71, dBm,
           136651394,Hz,              -76.23, dBm,
           136983060,Hz,              -75.78, dBm,
           137314726,Hz,              -76.33, dBm,
           137646392,Hz,              -76.72, dBm,
           137978058,Hz,              -76.93, dBm,
           138309724,Hz,              -76.84, dBm,
           138641390,Hz,              -76.87, dBm,
           138973056,Hz,              -76.79, dBm,
           139304722,Hz,              -76.65, dBm,
           139636388,Hz,              -76.82, dBm,
           139968054,Hz,              -76.69, dBm,
           140299720,Hz,              -76.59, dBm,
           140631386,Hz,              -76.87, dBm,
           140963052,Hz,              -76.58, dBm,
           141294718,Hz,              -76.82, dBm,
           141626384,Hz,              -76.45, dBm,
           141958050,Hz,              -76.55, dBm,
           142289716,Hz,              -76.53, dBm,
           142621382,Hz,              -76.44, dBm,
           142953048,Hz,              -77.13, dBm,
           143284714,Hz,              -76.75, dBm,
           143616380,Hz,              -76.75, dBm,
           143948046,Hz,              -76.52, dBm,
           144279712,Hz,              -76.76, dBm,
           144611378,Hz,              -76.36, dBm,
           144943044,Hz,              -76.58, dBm,
           145274710,Hz,              -76.43, dBm,
           145606376,Hz,              -76.57, dBm,
           145938042,Hz,              -76.48, dBm,
           146269708,Hz,              -76.47, dBm,
           146601374,Hz,              -75.92, dBm,
           146933040,Hz,              -75.95, dBm,
           147264706,Hz,              -76.28, dBm,
           147596372,Hz,              -76.04, dBm,
           147928038,Hz,              -76.53, dBm,
           148259704,Hz,              -76.34, dBm,
           148591370,Hz,              -76.16, dBm,
           148923036,Hz,              -76.31, dBm,
           149254702,Hz,              -76.11, dBm,
           149586368,Hz,              -76.02, dBm,
           149918034,Hz,              -75.65, dBm,
           150249700,Hz,              -75.90, dBm,
           150581366,Hz,              -76.06, dBm,
           150913032,Hz,              -75.97, dBm,
           151244698,Hz,              -76.26, dBm,
           151576364,Hz,              -76.15, dBm,
           151908030,Hz,              -76.14, dBm,
           152239696,Hz,              -75.81, dBm,
           152571362,Hz,              -75.74, dBm,
           152903028,Hz,              -76.06, dBm,
           153234694,Hz,              -75.96, dBm,
           153566360,Hz,              -75.99, dBm,
           153898026,Hz,              -75.91, dBm,
           154229692,Hz,              -75.91, dBm,
           154561358,Hz,              -76.14, dBm,
           154893024,Hz,              -76.27, dBm,
           155224690,Hz,              -76.09, dBm,
           155556356,Hz,              -76.14, dBm,
           155888022,Hz,              -76.00, dBm,
           156219688,Hz,              -76.07, dBm,
           156551354,Hz,              -75.86, dBm,
           156883020,Hz,              -76.01, dBm,
           157214686,Hz,              -75.88, dBm,
           157546352,Hz,              -76.16, dBm,
